Date of Interview,Client name,Industry,Location,Position to be closed,Nature of Skillset,Interview Type,Name(Cand ID),Gender,Candidate Current Location,Candidate Job Location,Interview Venue,Candidate Native location,Have you obtained the necessary permission to start at the required time,Hope there will be no unscheduled meetings,Can I Call you three hours before the interview and follow up on your attendance for the interview,Can I have an alternative number/ desk number. I assure you that I will not trouble you too much,Have you taken a printout of your updated resume. Have you read the JD and understood the same,Are you clear with the venue details and the landmark.,Has the call letter been shared,Expected Attendance,Observed Attendance,Marital Status
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 303,Male,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 304,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 305,Female,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 306,Female,Bangalore,Bangalore,Bangalore,Patna,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 307,Male,Bangalore,Bangalore,Bangalore,Patna,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 308,Male,Bangalore,Bangalore,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,no,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 309,Male,Bangalore,Bangalore,Bangalore,Cochin,NA,NA,NA,NA,NA,NA,NA,Uncertain,yes,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 310,Male,Bangalore,Bangalore,Bangalore,Pune,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 311,Female,Bangalore,Bangalore,Bangalore,Cuttack,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 312,Male,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 313,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 314,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Not yet,Uncertain,No,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 315,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 316,Male,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 317,Male,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 318,Female,Bangalore,Bangalore,Bangalore,Bangalore,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 319,Female,Bangalore,Bangalore,Bangalore,Kolkata,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walkin,Candidate 320,Male,Bangalore,Bangalore,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 321,Female,Bangalore,Bangalore,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 322,Male,Bangalore,Bangalore,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 323,Female,Bangalore,Bangalore,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Married
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 324,Male,Bangalore,Bangalore,Bangalore,Allahabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.04.2016,Standard Chartered Bank,BFSI,Bangalore,Routine,AML/KYC/CDD,Scheduled Walk In,Candidate 325,Male,Bangalore,Bangalore,Bangalore,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 326,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 327,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 328,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Married
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 329,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Married
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 330,Male,Chennai,Chennai,Chennai,Chennai,No,NA,NA,NA,NA,NA,NA,NO,NO,Single
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 331,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Married
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 332,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 333,Male,Chennai,Chennai,Chennai,Cochin,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 334,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 335,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 336,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 337,Female,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 338,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,No,Yes,Yes,Yes,Uncertain,Yes,Single
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 339,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Married
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 340,Female,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Married
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 341,Female,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 342,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 343,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 344,Male,Chennai,Chennai,Chennai,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Married
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 345,Male,Chennai,Chennai,Chennai,Bangalore,No,NA,NA,NA,NA,NA,NA,NO,NO,Single
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 346,Male,Chennai,Chennai,Chennai,Chennai,No,NA,NA,NA,NA,NA,NA,NO,NO,Single
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 347,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 348,Male,Chennai,Chennai,Chennai,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Single
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 349,Female,Chennai,Chennai,Chennai,Chennai,No,NA,NA,NA,NA,NA,NA,NO,NO,Married
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 350,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Not yet,Yes,Yes,Uncertain,yes,Single
27.02.2016,Standard Chartered Bank,BFSI,Chennai,Routine,CDD KYC,Scheduled Walk In,Candidate 351,Female,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,Biosimiliars,Scheduled ,Candidate 352,Male,Hyderabad,Chennai,Hyderabad,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,RA Label,Scheduled Walkin,Candidate 353,Male,Hyderabad,Chennai,Hyderabad,Visakapatinam,Yes,Yes,Yes,Yes,Yes,No,Yes,Uncertain,No,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,RA Label,Scheduled ,Candidate 354,Male,Hyderabad,Chennai,Hyderabad,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,RA Publishing,Scheduled ,Candidate 355,Male,Hyderabad,Chennai,Hyderabad,Visakapatinam,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,RA Publishing,Scheduled ,Candidate 356,Female,Hyderabad,Chennai,Hyderabad,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,RA Publishing,Scheduled ,Candidate 357,Female,Hyderabad,Chennai,Hyderabad,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,RA Publishing,Scheduled ,Candidate 358,Male,Hyderabad,Chennai,Hyderabad,Chitoor,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,RA Publishing,Scheduled ,Candidate 359,Male,Hyderabad,Chennai,Hyderabad,Hyderabad,No,NA,NA,NA,NA,NA,NA,NO,NO,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,RA Publishing,Scheduled ,Candidate 360,Male,Hyderabad,Chennai,Hyderabad,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,EMEA,Scheduled ,Candidate 361,Male,Hyderabad,Chennai,Hyderabad,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,EMEA,Scheduled ,Candidate 362,Male,Hyderabad,Chennai,Hyderabad,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,EMEA,Scheduled ,Candidate 363,Male,Hyderabad,Chennai,Hyderabad,Chitoor,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,Biosimiliars,Scheduled ,Candidate 364,Male,Hyderabad,Chennai,Hyderabad,Anantapur,Yes,Yes,No,Yes,Yes,Yes,Yes,Uncertain,yes,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,LCM -Manager,Scheduled ,Candidate 365,Male,Hyderabad,Chennai,Hyderabad,Warangal,No,NA,NA,NA,NA,NA,NA,NO,NO,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,Licensing – RA,Scheduled ,Candidate 366,Male,Hyderabad,Chennai,Hyderabad,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,Licensing – RA,Scheduled ,Candidate 367,Male,Hyderabad,Chennai,Hyderabad,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,generic drugs – RA,Scheduled ,Candidate 368,Female,Hyderabad,Chennai,Hyderabad,Hyderabad,Yes,Yes,Yes,No,Yes,Yes,Yes,Uncertain,No,Single
07.05.2016,Hospira,Pharmaceuticals,Hyderabad,Niche,Biosimilars,Scheduled ,Candidate 369,Male,Hyderabad,Chennai,Hyderabad,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
12.04.2016,Pfizer,Pharmaceuticals,Bangalore,Routine,production,Scheduled ,Candidate 438,Male,Bangalore,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
24.05.2016,Aon hewitt Gurgaon,IT Products and Services,Gurgaonr,Routine,Java J2EE,Scheduled ,Candidate 469,Male,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
24.05.2016,Aon hewitt Gurgaon,IT Products and Services,Gurgaon,Routine,Java J2EE,Scheduled ,Candidate 470,Male,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
26/05/2016,Aon Hewitt,IT Products and Services,Gurgaon,Routine,"Java,SQL",Scheduled ,Candidate 496,Female,Gurgaon,Gurgaon,Gurgaon,Gurgaon,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
26/05/2016,Aon Hewitt,IT Products and Services,Gurgaon,Routine,"Java,SQL",Scheduled ,Candidate 497,Female,Gurgaon,Gurgaon,Gurgaon,Agra,Yes,Yes,Yes,Yes,Yes,Yes,No,Uncertain,No ,Single
26/05/2016,Aon Hewitt,IT Products and Services,Delhi,Routine,"Java,SQL",Scheduled ,Candidate 498,Male,Delhi,Gurgaon,Gurgaon,Allahabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
10.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Automation Testing Java,Scheduled ,Candidate 499,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,no,Uncertain,Yes,Single
10.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Automation Testing Java,Scheduled ,Candidate 500,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
10.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Automation Testing Java,Scheduled ,Candidate 501,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
10.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Automation Testing Java,Scheduled ,Candidate 502,Male,Chennai,Chennai,Chennai,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
10.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Automation Testing Java,Scheduled ,Candidate 503,Male,Chennai,Chennai,Chennai,Pune,No,NA,NA,NA,NA,NA,NA,NO,NO,Married
10.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Automation Testing Java,Scheduled ,Candidate 504,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
10.05.2016,Standard Chartered Bank,BFSI,Chennai,Routine,Automation Testing Java,Scheduled ,Candidate 505,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
28.08.2016 & 09.00 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Submission Management,Scheduled Walkin,Candidate 506,Male,Bangalore,Chennai,Bangalore,Bangalore,No,NA,NA,NA,NA,NA,NA,NO,NO,Single
28.08.2016 & 9.30 AM,Pfizer,Pharmaceuticals,Bangalore,Routine,Submission Management,Scheduled Walkin,Candidate 507,Male,Bangalore,Chennai,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
28.8.2016 & 12.00 PM,Pfizer,Pharmaceuticals,Bangalore,Niche,Biosimillar,Scheduled Walkin,Candidate 508,Male,Bangalore,Chennai,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
28.08.2016 & 09.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Biosimillar,Scheduled Walkin,Candidate 509,Male,Bangalore,Chennai,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
28.8.2016 & 10.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Biosimillar,Scheduled Walkin,Candidate 510,Male,Bangalore,Chennai,Bangalore,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
28.08.2016 & 9.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 511,Male,Bangalore,Chennai,Bangalore,Bangalore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
28.8.2016 & 10.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 512,Male,Bangalore,Chennai,Bangalore,Mumbai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
28.8.2016 & 09.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 513,Male,Bangalore,Chennai,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
28.8.2016 & 04.00 PM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 514,Male,Bangalore,Chennai,Bangalore,Cuttack,NA,NA,NA,NA,NA,NA,NA,Uncertain,yes,Single
28.08.2016 & 11.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 515,Male,Bangalore,Chennai,Bangalore,Cuttack,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
28.08.2016 & 11.00 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 516,Male,Bangalore,Chennai,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
28.08.2016 & 10.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 517,Male,Bangalore,Chennai,Bangalore,Pune,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
28.8.2016 & 03.00 PM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 518,Male,Bangalore,Chennai,Bangalore,Visakapatinam,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
28.08.2016 & 09.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Publishing,Scheduled Walkin,Candidate 519,Male,Bangalore,Chennai,Bangalore,Kolkata,No,NA,NA,NA,NA,NA,NA,NO,NO,Married
28.08.2016 & 11.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Global Labelling,Scheduled Walkin,Candidate 520,Male,Bangalore,Chennai,Bangalore,Bhubaneshwar,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
28.8.2016 & 10.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Global Labelling,Scheduled Walkin,Candidate 521,Male,Bangalore,Chennai,Bangalore,Ghaziabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Married
28.08.2016 & 10.00 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Global Labelling,Scheduled Walkin,Candidate 522,Male,Bangalore,Chennai,Bangalore,Baddi,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
28.8.2016 & 02.00 PM,Pfizer,Pharmaceuticals,Bangalore,Niche,Global Labelling,Scheduled Walkin,Candidate 523,Male,Bangalore,Chennai,Bangalore,Hyderabad,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
28.08.2016 & 10.30 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Global Labelling,Scheduled Walkin,Candidate 524,Male,Bangalore,Chennai,Bangalore,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
28.8.2016 & 11.00 AM,Pfizer,Pharmaceuticals,Bangalore,Niche,Global Labelling,Scheduled Walkin,Candidate 525,Male,Bangalore,Chennai,Bangalore,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Single
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 526,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Single
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 527,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 528,Female,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 529,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 530,Male,Chennai,Chennai,Chennai,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 531,Female,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Married
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 532,Male,Chennai,Chennai,Chennai,Chennai,No,NA,NA,NA,NA,NA,NA,NO,NO,Single
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 533,Male,Chennai,Chennai,Chennai,Hosur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 534,Male,Chennai,Chennai,Chennai,Trichy,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 535,Male,Chennai,Chennai,Chennai,Hosur,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 536,Male,Chennai,Chennai,Chennai,Nagercoil,NA,NA,NA,NA,NA,NA,NA,Uncertain,No,Single
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 537,Male,Chennai,Chennai,Chennai,Trichy,No,NA,NA,NA,NA,NA,NA,NO,NO,Married
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 538,Male,Chennai,Chennai,Chennai,Tuticorin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 539,Female,Chennai,Chennai,Chennai,Coimbatore,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Married
13.06.2016,Astrazeneca,Pharmaceuticals,Chennai,Niche,ALS Testing,Scheduled ,Candidate 540,Male,Chennai,Chennai,Chennai,Chennai,NA,NA,NA,NA,NA,NA,NA,Uncertain,Yes,Single
